delivery_id Predicted_Time_secs
046433f6f07a2743d6c990f4ef61eaad 3611.4657484
0ffb496c3eeb5eacec516a3cbcc9e569 2988.05632281
3b04e68c88349a776013fcae3bc5aea6 2921.81475636
345bb0c7adc228a776ae0a02a1b20a04 3306.18436951
cffcd18445407b8027ed4484ff46726c 3300.82272076
9d65036171bc0463ebb48bf125ac5cbf 3377.41279848
bebd60f139989879bd86c6047babce83 3101.03171394
89bca4b8fbabcbfd0cbf07fb7c6271cc 2325.32682119
4061b453014cf028b2213145a460753c 2382.59439032
d71ac2be630dbd0d88ef0a9e3a559329 3184.9460657
4af2232da5619ef3fd923ff8346ee804 1870.23885932
27fb5c0a87e11d6a7ba573109cfe743f 2255.32239499
0a5116feb4f6b2be8356b78022adfc9e 2899.83390246
b9978bc9d8d3383f7c0287eeeaa66838 2994.22797129
ad825b60391a15fc86e44af29ffc1a4a 2933.36848616
777e747d8029109c521c793884d3e300 2879.53247204
1f633306521571063183b642aa2f42e2 2587.95648765
766a5053b52da822ac41d255235219ec 2556.18738715
99333984ed3b0b4cb40921967b17e55c 2969.46280331
e97b08538d56e55661a82c9e272d52b5 3117.55648432
5c2481a9d62cdaab6b540f88bf0579b6 2932.02858981
3a0dfaef43fa4a1109abf9bff07f866d 2498.20774257
783078cef92c6b9c14fd20b336ec0df8 3086.23480984
1a59ef982a9416ece9e8f0a28952e6f2 2662.91528854
08e5182f05f89c2b7ac6ca5c11d7ccf4 2940.55300049
714f0b286705b19df84d59f2935ea3de 3062.45437855
6aa53d2dc8555652382c84ad14492796 3449.66047191
08aa98086084f0495473b3845fcbcb39 2944.69485352
e0abaf4e24dc96586dbe8d7a97cfbd3c 2541.47186678
1d1ef2321f29c71d3d3d915184ba4038 2163.02016127
089255e44d448d35944ccaa5804dc639 2460.18782512
80d36f8a6921ee5b433298a29263812f 3042.22445764
f013be35407d0349feb737f9ced6974c 3571.64221361
8ce99ba48e4f7b012fb01b5713a658c1 2341.9740657
dad696f69a883942dcf364a9daf1354b 2603.55358446
33d3e89f191b561143f731c6da9b899d 3953.62233088
be8599cda99e0036d027a095fe81ff61 3239.09871034
58cae05031346cdb9d01eaf8ddbd43d3 2877.00423212
1eb317b46f7145c59721322ba21be797 3907.42676301
d0cef459ffb612550980a0253179b62d 2510.83640489
bce85e72483dea8ad3ba43d3f0c7d868 3465.05279486
5812fc65d3042530ccdcfcc7e1cf0de8 3359.5645065
